course_id,course_name,credits,hours,course_type,department,teachers,TAs
AI201,人工智能导论,2.0,32,学科基础,人工智能学院,,文淑英、卢秀梅、王秀梅、王静、方梅、卢秀梅、文淑英、方帅、郭倩、方帅、方帅、文淑英、张婷婷、文淑英、文淑英、王秀梅、王静、王秀梅、文淑英、王秀梅、王静、张婷婷、郭倩、张婷婷、卢秀梅、郭倩、王秀梅、王静、张婷婷、王静、文淑英、王静、王静、王秀梅、方帅、郭倩、张婷婷、王静、张婷婷、卢秀梅、方梅、王秀梅、卢秀梅、王秀梅、方帅、张婷婷、郭倩、卢秀梅、王静、王秀梅、郭倩、方梅、王静、方梅、方梅、方帅、方梅、王静、方帅、文淑英、方梅、张婷婷、文淑英、郭倩、方梅、文淑英、王秀梅、卢秀梅、方帅、方梅、郭倩、王静、方梅、卢秀梅、方梅、文淑英、张婷婷、王静、郭倩、方帅、郭倩、王秀梅、方梅、王静、郭倩、文淑英、王静、张婷婷
AI202,概率图模型基础,2.0,32,学科基础,人工智能学院,,方梅、方帅、文淑英、王静、文淑英、卢秀梅、郭倩、文淑英、方帅、文淑英、卢秀梅、王秀梅、方梅、王静、方梅、王秀梅、文淑英、王秀梅、方梅、卢秀梅、方帅、王秀梅、卢秀梅、文淑英、卢秀梅、王静、郭倩、张婷婷、王秀梅、文淑英、卢秀梅、文淑英、张婷婷、方帅、文淑英、卢秀梅、王秀梅、方帅、王静、文淑英、方梅、郭倩、郭倩、卢秀梅、王秀梅、张婷婷、张婷婷、郭倩、郭倩、方帅、王秀梅、王静、方帅、王秀梅、文淑英、方梅、方帅、卢秀梅、郭倩、卢秀梅、郭倩、文淑英、方帅、王静、张婷婷、卢秀梅、方梅、文淑英、方帅、方梅、方帅、张婷婷
AI203,Python数据分析,2.0,32,专业选修,人工智能学院,,方梅、文淑英、王秀梅、王静、方梅、郭倩、郭倩、张婷婷、卢秀梅、郭倩、方梅、张婷婷、方梅、王秀梅、张婷婷、卢秀梅
AI204,数据挖掘基础,2.0,32,专业选修,人工智能学院,,方帅、王静、郭倩、王静、卢秀梅、郭倩、卢秀梅、王静、王秀梅、郭倩、方帅、郭倩、郭倩、方梅、王静、文淑英
AI301,机器学习,2.0,32,专业必修,人工智能学院,,方帅、卢秀梅、文淑英、郭倩、张婷婷、王静、王秀梅、方帅、方帅、方梅、张婷婷、王静、郭倩、文淑英、王秀梅、方梅、方帅、张婷婷、方帅、郭倩、卢秀梅、郭倩、郭倩、张婷婷、方帅、方梅、郭倩、卢秀梅、张婷婷、卢秀梅、方帅、卢秀梅、张婷婷、方帅、方梅、郭倩、王秀梅、张婷婷、卢秀梅、张婷婷
AI302,深度学习,2.0,32,专业必修,人工智能学院,,王秀梅、郭倩、王静、文淑英、卢秀梅、郭倩、方帅、郭倩、方帅、郭倩、文淑英、郭倩、方帅、王秀梅、方梅、郭倩、卢秀梅、郭倩、方梅、张婷婷、方帅、卢秀梅、方帅、方梅、郭倩、方帅、郭倩、王静、王静、方帅、方帅、卢秀梅
AI303,计算机视觉,2.0,32,专业选修,人工智能学院,,王静、郭倩、卢秀梅、方梅、方梅、卢秀梅、方帅、文淑英、文淑英、方梅、王秀梅、王静、卢秀梅、方帅、王静、方梅
AI304,自然语言处理,2.0,32,专业选修,人工智能学院,,王静、张婷婷、郭倩、张婷婷、郭倩、王秀梅、文淑英、方梅、郭倩、方梅、方梅、张婷婷、王秀梅、王静、张婷婷、郭倩
AI305,知识图谱,2.0,32,专业选修,人工智能学院,,王静、张婷婷、郭倩、方梅、王秀梅、卢秀梅、卢秀梅、文淑英、张婷婷、文淑英、张婷婷、卢秀梅、卢秀梅、张婷婷、卢秀梅、文淑英
AI306,推荐系统,2.0,32,专业选修,人工智能学院,,王静、张婷婷、文淑英、王静、张婷婷、郭倩、文淑英、王静、张婷婷、王静、方帅、文淑英、方帅、郭倩、文淑英、方帅
