student_id,name,password,gender,birth_date,major,major_id,college_code,grade,class_name,enrollment_date,status,email,phone,created_at,updated_at
2022011001,李秀华,$2b$12$jN/8xPJorupoj02dp9KRqOGi94uymhZnErSVpEEm8mQViv9IUzBc6,女,2004-06-19,计算机科学与技术,1,2021001,2022,2022001001,2022-09-01,active,2022011001@bupt.edu.cn,17295063525,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011004,张鹏,$2b$12$3kbwLaPHS8Ulf0s/BP.PROkrpXvb8ADotJj9tkJzHF/O74wxuOZ6u,男,2004-09-17,计算机科学与技术,1,2021001,2022,2022001001,2022-09-01,active,2022011004@bupt.edu.cn,16791731017,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011007,赵小红,$2b$12$NtrHHdcKSpQ2lpZhJQcKeuC6b4YHWjjYalMGD9jS5MDjqjGB7GQeG,女,2003-12-06,计算机科学与技术,1,2021001,2022,2022001001,2022-09-01,active,2022011007@bupt.edu.cn,18713465934,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011010,王倩,$2b$12$RrujtvQYvZy37cLNVIFnBOPl/p9p/LkLeiQwgWxZU7xPNiMqNpjVi,女,2003-11-09,计算机科学与技术,1,2021001,2022,2022001001,2022-09-01,active,2022011010@bupt.edu.cn,15029264446,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011013,黄林,$2b$12$os3cqt9FfX23vKohWAEds.iBmTRYm.lg470qJmUeo.CDkvJ2OYpZG,女,2003-08-07,计算机科学与技术,1,2021001,2022,2022001002,2022-09-01,active,2022011013@bupt.edu.cn,14437168660,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011016,王玉华,$2b$12$H0e96/5ci/dEsO77oaf9wOIQyqSfdLNP/uXsqYhVtiQp55vwviw/C,男,2002-12-01,计算机科学与技术,1,2021001,2022,2022001002,2022-09-01,active,2022011016@bupt.edu.cn,13035524792,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011019,张凯,$2b$12$VGfXOz61GvP4jlo6ZdNq5.xBuLT1dUDrigrpBedfCNqQLznrChn6K,男,2002-06-01,计算机科学与技术,1,2021001,2022,2022001002,2022-09-01,active,2022011019@bupt.edu.cn,13393293129,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011022,徐建国,$2b$12$hFLCoXPXlVm9dbBnRuvDx.kBQ4OyQN1fmySZa31K97ZNjAicABqEK,女,2004-01-27,计算机科学与技术,1,2021001,2022,2022001003,2022-09-01,active,2022011022@bupt.edu.cn,17035264555,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011025,郑刚,$2b$12$n5kSf/kN2pnTBPI.PnFHjOqRLkxioRUz9w/fdAPiPWFsH1f26gHkm,女,2004-07-03,计算机科学与技术,1,2021001,2022,2022001003,2022-09-01,active,2022011025@bupt.edu.cn,18393338100,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011028,夏明,$2b$12$nY3Ld1L.ZrL3t4SgUYiKr.dcpRnKZT/xhG6GsRwVrXeQmEStrL4A6,男,2003-02-27,计算机科学与技术,1,2021001,2022,2022001003,2022-09-01,active,2022011028@bupt.edu.cn,17866654444,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011031,王文,$2b$12$beEBGcPqiXr0MgJ6JV02LeEcxu/Iu/.0K0jelEG.Bl349RcFs61BK,女,2003-08-20,计算机科学与技术,1,2021001,2022,2022001004,2022-09-01,active,2022011031@bupt.edu.cn,17536445219,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011034,殷杰,$2b$12$rFT4vl3o08pmeRTiWEdivevs.xyFa6M8484JEGZnXEq4/JwG5NU1u,男,2003-04-12,计算机科学与技术,1,2021001,2022,2022001004,2022-09-01,active,2022011034@bupt.edu.cn,15145952751,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011037,卢秀华,$2b$12$euI/tA5bXysQfUQo0R/Vx.l1W2m05/aKl5Oh/A0i6qIMajG.reEXC,女,2002-06-02,计算机科学与技术,1,2021001,2022,2022001004,2022-09-01,active,2022011037@bupt.edu.cn,18823235436,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011040,朱晨,$2b$12$YLEE6PfHXjBddd09hn49CenGrsvr3XkobcUymmsTDFZYbKIOZNOii,男,2003-05-01,计算机科学与技术,1,2021001,2022,2022001004,2022-09-01,active,2022011040@bupt.edu.cn,17833334658,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011043,李玉兰,$2b$12$JBcvxoEKocHwOp1ihGsvX.6IDJolDLznEmE3Pv89qddHqLs9HMY4y,男,2002-04-09,计算机科学与技术,1,2021001,2022,2022001005,2022-09-01,active,2022011043@bupt.edu.cn,15703092055,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011046,贺瑞,$2b$12$eZRIvziTGaN62104FtWo9ev7Xvyv5I6skyzwUvs9cfwCx2tXA0sWC,男,2004-08-14,计算机科学与技术,1,2021001,2022,2022001005,2022-09-01,active,2022011046@bupt.edu.cn,17327527700,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011049,吴凤兰,$2b$12$TSJ5qxjh3z7MRqJ1BNH8B.u7ZVxPUZvtPGFYFdpLflYU3i1Bm0raK,男,2004-12-24,计算机科学与技术,1,2021001,2022,2022001005,2022-09-01,active,2022011049@bupt.edu.cn,13597958673,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011052,王淑华,$2b$12$lgmUaopM6inOsMomHhhTsu0g1VbZ0cWR3C9itZwnor3JU/9YKCtQ2,男,2004-05-05,计算机科学与技术,1,2021001,2022,2022001006,2022-09-01,active,2022011052@bupt.edu.cn,14517150412,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011055,朱秀云,$2b$12$Si1uHT9Z7vLrDxaeQq7QVOtCbxAwHwiHGYuj2I1ILYIYh2/pQicfq,男,2005-04-08,计算机科学与技术,1,2021001,2022,2022001006,2022-09-01,active,2022011055@bupt.edu.cn,15723683956,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011058,郑桂香,$2b$12$2ni.ufwXmQ94cjwAdG78NOeoFgWRWHdXqLakXLuq6SASyLT0zgJ4C,女,2005-05-29,计算机科学与技术,1,2021001,2022,2022001006,2022-09-01,active,2022011058@bupt.edu.cn,17620249239,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011061,陈亮,$2b$12$YL917o9O5wmCr3ucgKhtxuSE05mewaewPCLDJGf9BMGTnoeKW0qEq,女,2002-07-27,计算机科学与技术,1,2021001,2022,2022001007,2022-09-01,active,2022011061@bupt.edu.cn,19499791282,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011064,陈萍,$2b$12$0Bj04sQ83NRrkx7X7fRWwOgcF88H9YUNgzNE42c.35esDgk2Kibuq,女,2002-12-26,计算机科学与技术,1,2021001,2022,2022001007,2022-09-01,active,2022011064@bupt.edu.cn,15538472572,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011067,姚楠,$2b$12$PyyZj6r7.JpPI3x0N4khBeQNkQz.Wyz4yUvyQQeFnx1bU8qoSo09W,男,2001-06-08,计算机科学与技术,1,2021001,2022,2022001007,2022-09-01,active,2022011067@bupt.edu.cn,13874574389,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011070,金桂兰,$2b$12$g6QxmRpsvxYDlCLHj09HWu7SkM7dWYPw1Lxv3RY5yDufuQnhZoWE2,女,2002-08-22,计算机科学与技术,1,2021001,2022,2022001007,2022-09-01,active,2022011070@bupt.edu.cn,13503248382,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011073,缪玉珍,$2b$12$j5NlAWISuOTbcwwehffZOOSQxdxY3x3Y5JJo/V9tXpXorB06teAbe,男,2003-08-20,计算机科学与技术,1,2021001,2022,2022001008,2022-09-01,active,2022011073@bupt.edu.cn,15367368579,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011076,杨红霞,$2b$12$YNY0hFKLutSb/1XdpG9dMeaWQr/Jzy9iNSsUsiClmzT34KqVskVCW,男,2003-09-15,计算机科学与技术,1,2021001,2022,2022001008,2022-09-01,active,2022011076@bupt.edu.cn,16505759521,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011079,姚莉,$2b$12$pYq6/uRAIPKIMqlmob4lR.ht7AJU1Z5rxazqE3C7ERLMi1z/vH0r6,女,2002-12-11,计算机科学与技术,1,2021001,2022,2022001008,2022-09-01,active,2022011079@bupt.edu.cn,17652919762,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011082,李小红,$2b$12$3MrKGZKlytMBDn1xSOANC.c8iQ/9S7Fz4pJ9Mu/5XaH0ioegsuA0S,男,2004-08-30,计算机科学与技术,1,2021001,2022,2022001009,2022-09-01,active,2022011082@bupt.edu.cn,16446610192,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011085,张佳,$2b$12$3NTQyw8wJqF2QLJQtPu3We6/OyqdlzP1j5kOCljo3bJryykVbkobK,男,2003-05-06,计算机科学与技术,1,2021001,2022,2022001009,2022-09-01,active,2022011085@bupt.edu.cn,15062511528,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011088,姜桂兰,$2b$12$wVsVmY5ftMTjiIJ0mvMsZeWqbsNB5ICPJEO37ZiCpK11iuIQhtosC,男,2003-10-28,计算机科学与技术,1,2021001,2022,2022001009,2022-09-01,active,2022011088@bupt.edu.cn,14725241806,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011091,罗淑英,$2b$12$LFSstPOWcDGddB2wRCm28O41aiOHZxqRpycUFlvs4l6Aj0kriHFGG,男,2003-01-12,计算机科学与技术,1,2021001,2022,2022001010,2022-09-01,active,2022011091@bupt.edu.cn,13099708926,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011094,杨玉,$2b$12$yQs.014BjcmEQVOo2a24/uVDb8QeaKi0tZnYN6bTOFY1fH9cAl28y,男,2004-02-21,计算机科学与技术,1,2021001,2022,2022001010,2022-09-01,active,2022011094@bupt.edu.cn,16936182489,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011097,杨晨,$2b$12$0Tgben9MhJeIt5VyygTmE.qKqyXLAHNQLRABg/wSZth7qSb4EEmVC,男,2001-11-24,计算机科学与技术,1,2021001,2022,2022001010,2022-09-01,active,2022011097@bupt.edu.cn,18968999708,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011100,李凤兰,$2b$12$Fqyjd9GeW/lyg/gN1aCYTe8NvtEO.bv/sR15eaFZa8uNCmWakunQa,男,2001-02-07,计算机科学与技术,1,2021001,2022,2022001010,2022-09-01,active,2022011100@bupt.edu.cn,17210275297,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011103,黄磊,$2b$12$hUQPH82Notf8gVXt4hqiNO7N6EaFiEF6mrB6pjVs9gOJyzpJYzKiO,女,2004-07-15,计算机科学与技术,1,2021001,2022,2022001011,2022-09-01,active,2022011103@bupt.edu.cn,18968472448,2025-12-09 17:38:45,2025-12-09 17:38:45
2022011106,莫燕,$2b$12$3HVeQDbsne9Aj26s2WL8JOCUhKo92Yo7HJjZ0CGRmIU85ip.csqaC,男,2001-08-27,计算机科学与技术,1,2021001,2022,2022001011,2022-09-01,active,2022011106@bupt.edu.cn,14898814560,2025-12-09 17:38:45,2025-12-09 17:38:45
2022012002,张红,$2b$12$6DHkwETJ6FKXM2iI0.nrPOQBJGXwjgmpkH5BRmuJcs5bSG8CGfR0u,男,2004-03-25,软件工程,2,2021001,2022,2022001001,2022-09-01,active,2022012002@bupt.edu.cn,14900233129,2025-12-09 17:38:45,2025-12-09 17:38:45
2022012005,陈玉兰,$2b$12$gKwtTyIN8/7VYsCpDJ1j0e8saCZbtdNBDr8QuQVtEDyjGa/5Hbypa,女,2002-11-01,软件工程,2,2021001,2022,2022001001,2022-09-01,active,2022012005@bupt.edu.cn,15019599769,2025-12-09 17:38:45,2025-12-09 17:38:45
