teacher_id,name,password,gender,title,department,email,phone,hire_date,status,created_at,updated_at
2005032038,梅玉珍,$2b$12$ujmaca1H0O8AtGeLEcr9GOIUAwMiJD.p.8LVveLoD.PY0uLhCYBv2,女,助教,现代邮政学院,2005032038@bupt.edu.cn,010-25875160,2005-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2005051026,王俊,$2b$12$hCQa/0UKlUeQb.xAU9c3YecZChWgZvZi226IGb3IMp2BXf2quB1Ee,男,实验师,人工智能学院,2005051026@bupt.edu.cn,010-22616598,2005-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2005052017,毛桂英,$2b$12$SaIRn/1H7CphQIyTblHEAOi1wWAD7PBYdfauW7g//Xx6RyZyvM8ni,女,讲师,人工智能学院,2005052017@bupt.edu.cn,010-14029568,2005-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2005062014,金静,$2b$12$Iw7tx.vrvadcVm4CffKmEeAc3WHOhLikypWPObqzNruVWT0zvigrm,女,副教授,信息与通信工程学院,2005062014@bupt.edu.cn,010-35859385,2005-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2006083037,符龙,$2b$12$3XGPnTIJ0w42uRONUF7KoOBoTZ0rV8C8Riqa8Oc37wfNL0d.AGziG,女,讲师,人文学院,2006083037@bupt.edu.cn,010-83557903,2006-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2008033001,董雷,$2b$12$jrBUywpMJUZZooEIqXGQiObBWOrI1IUWPZPW2daWuJBWq7hgTWXFi,男,教学秘书,现代邮政学院,2008033001@bupt.edu.cn,010-91908233,2008-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2008033049,张洁,$2b$12$RsoGL//hOWoGArXpitRmYe75EjnaNCzFidy4oxAxID/KQhEe3DGtK,男,助理研究员,现代邮政学院,2008033049@bupt.edu.cn,010-41235421,2008-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2008042048,鲍柳,$2b$12$an4o/4wsQmaO3O5IGJ8OCunArIhHW7fk/z20sGNB8L3eXhv57Umx2,女,讲师,电子工程学院,2008042048@bupt.edu.cn,010-92277617,2008-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2008073022,任玉珍,$2b$12$haYwlaJWLb1ZFkbxUgkEaOxHkTS4xwRXcr3tIw44d9rcQ3oYCQD16,男,高级实验师,未来学院,2008073022@bupt.edu.cn,010-41855840,2008-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2008083016,刘帅,$2b$12$MG/p8KYJTR4TGAylnmJ7..58CREsOH294I7LhZ.PLcRbSSN89g7Ui,男,副研究员,人文学院,2008083016@bupt.edu.cn,010-65159585,2008-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2009033039,梅莹,$2b$12$fcMXpzcZQTFHphXvmssURuZL17h9EUaGMKZ67jFEDM.7fcC2gfHIu,男,讲师,现代邮政学院,2009033039@bupt.edu.cn,010-36695346,2009-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2009083042,王浩,$2b$12$AI72bMS0cuZ52QN722btLuuBjL1NkR7vssRzcgP4j.5IsXvYjX6Ou,男,讲师,人文学院,2009083042@bupt.edu.cn,010-53291886,2009-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2010032044,邓明,$2b$12$6VTwhwGWsWjtC41Ul.TiL.JO9Dc0JgNKyl10SRZD8oIS3ocZ5lZ0u,男,讲师,现代邮政学院,2010032044@bupt.edu.cn,010-81255821,2010-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2010041019,李坤,$2b$12$J3zVBvBfoOwCoKrp2H7g2uYiOYP.UexCc5SX9LNavQtai4RUMliwC,男,助教,电子工程学院,2010041019@bupt.edu.cn,010-54055162,2010-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2010053032,赖洁,$2b$12$MsJtPb3RVS/oi./ya4q7SO3bc/GbEigWSELDfxYsI06uI5lJGy9mi,女,副教授,人工智能学院,2010053032@bupt.edu.cn,010-84654099,2010-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2011041013,杜阳,$2b$12$gsIDaSLfnlbRBsF8L11Cj.VARViHu33IN5z4oPzJ.GRqwFDZC2q.u,女,高级实验师,电子工程学院,2011041013@bupt.edu.cn,010-59592351,2011-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2011083041,王博,$2b$12$Mv09a/rCvV5rStytIv4rDeFrBqKtVsZUV3F6dH9NmgWlHaIcwLbqq,男,讲师,人文学院,2011083041@bupt.edu.cn,010-77599393,2011-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2012012007,Tyler Watson,$2b$12$wzkG41YyZhOYc.1DGTC3ReW3djFRjFvvbyfyDr5COHzjIu84EWx8.,女,副教授,国际学院,2012012007@ic.bupt.edu.cn,010-21290614,2012-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2012061040,林荣,$2b$12$gSnQ6TyDQbLllcmMtbj6fO6wbdnkIq/gZVLsjTxsSmFPwgr1IHxni,男,讲师,信息与通信工程学院,2012061040@bupt.edu.cn,010-13071777,2012-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2012063036,董欣,$2b$12$LCtzQFFX9s3S4JR6VZtQ0.7ayZJR6jBr3H7CzlpTsUnZ1kX72lcG6,女,助教,信息与通信工程学院,2012063036@bupt.edu.cn,010-22394511,2012-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2012063050,刘慧,$2b$12$Pa9FqqfHEDan9gHNtSIb..AEFbow.YIjOgMP2M3Owp4XtXp3x3EJq,男,讲师,信息与通信工程学院,2012063050@bupt.edu.cn,010-98348015,2012-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2012083035,刘柳,$2b$12$pUJMKuJaHDVoZB9ASWAGSux.so6lOZ4M5ipOQKEwXk6UCC9mdduvG,男,助理研究员,人文学院,2012083035@bupt.edu.cn,010-99299280,2012-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2013011015,Amanda Vance,$2b$12$6cj4RIm2xRF4lbJ/Anbx1OzEXnu6Ofwbl7nk6mfs2pN7Z8vkonWDW,男,讲师,国际学院,2013011015@ic.bupt.edu.cn,010-37324027,2013-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2013041003,刘利,$2b$12$CSnCKSdYVl1ZuikE/ORUNeLcsiHmt2BuZDdiu3luwl1xTsdi.TPoe,男,助理研究员,电子工程学院,2013041003@bupt.edu.cn,010-62853911,2013-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2013042021,史龙,$2b$12$cUUiCeiDpXjVfVWtgULmv.cG6teH0rvL.8tFZ4VOaFcgS02iKUrji,男,讲师,电子工程学院,2013042021@bupt.edu.cn,010-63714186,2013-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2014022002,王静,$2b$12$Nm7m6eIj6ApOiSwm4v9bbOoPYQjxaJPCjCAO42KzJCVq6VkLYT/uS,男,副教授,计算机学院,2014022002@bupt.edu.cn,010-40961147,2014-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2014033006,贾帅,$2b$12$Av8aVpOmEIrk8H/ap8dSSuEKFbHbE9v5.VEoABjN2q/NkoFLTJJ.e,男,助理研究员,现代邮政学院,2014033006@bupt.edu.cn,010-59799216,2014-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2014042004,吴飞,$2b$12$y1jqDrdo3lPHVi75i9iOt.FYg.DaMHwQkofl9brczW6xA1LcQI/X2,男,助理研究员,电子工程学院,2014042004@bupt.edu.cn,010-30738332,2014-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2015011045,Sharon Gray,$2b$12$oQ52TLFYcyOczODlMwT7reONpen6d7prsXHh2T5d//Jc/17X2JIUq,男,讲师,国际学院,2015011045@ic.bupt.edu.cn,010-61939056,2015-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2015021043,王丽,$2b$12$1kv9GDrrsrTVHU1/ERZEBeEiYbtuzhmgrMBij3sm8sqKmMYCgx4Wa,男,副教授,计算机学院,2015021043@bupt.edu.cn,010-91724262,2015-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2015051005,李淑珍,$2b$12$T0lrF8ze2fGQMk73rEvZMes2Bs8oiS/XtgyVcFenUT9W4tcD35pFa,女,助理研究员,人工智能学院,2015051005@bupt.edu.cn,010-14682364,2015-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2015053030,卢凯,$2b$12$T1oARYBGSdlsY0A6i2DQa.uNz6fBCp8eN12K.CdN5JIyArhu98wP.,男,副研究员,人工智能学院,2015053030@bupt.edu.cn,010-68949779,2015-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2015062009,陈荣,$2b$12$WUcD61GCeMydjKbPiQuEbOlK9tYJTe1xHfTjauyiKBwPxNsuo4oyK,女,讲师,信息与通信工程学院,2015062009@bupt.edu.cn,010-49662589,2015-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2015071024,马涛,$2b$12$Aa/Frnn3iV8SPgRebMtTsO0JHq0d6dqBvGsOKJpa2yX3eyaHtKBMa,男,助理研究员,未来学院,2015071024@bupt.edu.cn,010-80337349,2015-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
